rowid,pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_kepflag,pl_k2flag,kepler,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,rowupdate,pl_eqt,pl_disc,pl_instrument,solarsystemflag
2314,Kepler-435,b,Transit,8.6001536,0.0948,0.114,85.51,0.84,Mass,1.99,0.131,1,0,1,2070,13.643,Kepler-band,6161,1.54,3.21,42018,1729,2015,Kepler CCD Array,0
1017,Kepler-12,b,Transit,4.4379629,0.0553,,88.796,0.432,Mass,1.754,0.11,1,0,1,600,13.8,V (Johnson),5947,1.17,1.48,42292,1480,2011,Kepler CCD Array,0
2336,Kepler-447,b,Transit,7.79430132,0.0769,0.123,86.55,1.37,Mass,1.65,0.4,1,0,1,,12.394,Kepler-band,5493,1,1.05,42054,,2015,Kepler CCD Array,0
2667,Kepler-7,b,Transit,4.8854892,0.06067,,85.161,0.441,Mass,1.622,0.14,1,0,1,,12.885,Kepler-band,5933,1.36,1.97,42292,1630,2009,Kepler CCD Array,0
731,KOI-13,b,Transit,1.763588,0.03641,0.00064,86.77,9.28,Mass,1.512,3.6,1,0,1,,9.958,Kepler-band,7650,1.72,1.74,42292,2550,2011,Kepler CCD Array,0
188,HAT-P-56,b,Transit,2.7908327,0.0423,0.246,82.13,2.18,Mass,1.466,0.86,0,1,1,310.5,10.908,V (Johnson),6566,1.3,1.43,42208,1840,2015,2K CCD Sensor,0
2312,Kepler-433,b,Transit,5.33408384,0.0679,0.119,89.21,2.82,Mass,1.45,1.13,1,0,1,1870,14.463,Kepler-band,6360,1.46,2.26,42018,1776,2015,Kepler CCD Array,0
730,KOI-12,b,Transit,17.8552333,0.151,0.72,88.95,10,Mass,1.43,,1,0,1,426,11.353,Kepler-band,6820,1.45,1.63,42138,,2015,Kepler CCD Array,0
2402,Kepler-5,b,Transit,3.5484657,0.0538,,89.14,2.111,Mass,1.426,0.4,1,0,1,,13.369,Kepler-band,6297,1.37,1.79,42292,1750,2009,Kepler CCD Array,0
191,HAT-P-7,b,Transit,2.2047354,0.0355,0,83.143,1.781,Mass,1.419,0.8,1,0,1,320,10.463,Kepler-band,6350,1.47,1.84,42292,2200,2008,2K CCD Sensor,0
2789,Kepler-8,b,Transit,3.5224991,0.0474,,83.978,0.59,Mass,1.416,0.27,1,0,1,1330,13.9,V (Johnson),6213,1.21,1.49,42292,1680,2010,Kepler CCD Array,0
2933,Kepler-91,b,Transit,6.24658,0.0731,,69.68,0.81,Mass,1.367,0.4,1,0,1,1030,12.495,Kepler-band,4550,1.31,6.3,42292,2040,2013,Kepler CCD Array,0
2738,Kepler-76,b,Orbital Brightness Modulation,1.5449298,0.0274,,77.55,2.01,Mass,1.36,1.1,1,0,1,,13.308,Kepler-band,6409,1.2,1.32,42292,2140,2013,Kepler CCD Array,0
700,K2-34,b,Transit,2.995607,0.04419,0,82.06,1.76,Mass,1.35,0.94,0,1,1,377,11.548,V (Johnson),6132,1.28,1.53,42524,1742,2016,Kepler CCD Array,0
2278,Kepler-412,b,Transit,1.7208604,0.02897,,80.559,0.941,Mass,1.341,0.52,1,0,1,1056,13.73,V (Johnson),5750,1.17,1.29,42292,1850,2014,Kepler CCD Array,0
1617,Kepler-17,b,Transit,1.4857108,0.02591,0.011,87.2,2.45,Mass,1.31,1.35,1,0,1,800,14.141,Kepler-band,5781,1.16,1.05,41773,1570,2011,Kepler CCD Array,0
2538,Kepler-6,b,Transit,3.2346996,0.04852,,88.93,0.668,Mass,1.304,0.4,1,0,1,,13.303,Kepler-band,5647,1.21,1.39,42292,1460,2009,Kepler CCD Array,0
2274,Kepler-41,b,Transit,1.8555582,0.03101,0,82.51,0.56,Mass,1.29,0.33,1,0,1,770,14.465,Kepler-band,5750,1.15,1.29,42033,1790,2011,Kepler CCD Array,0
3225,WASP-75,b,Transit,2.484193,0.0375,0,82,1.07,Mass,1.27,0.69,0,1,1,260,11.45,V (Johnson),6100,1.14,1.26,41773,1710,2013,iKon-L CCD Camera,0
3128,TrES-2,b,Transit,2.47061317,0.0367,,83.872,1.197,Mass,1.247,0.8,1,0,1,213,11.411,V (Johnson),5850,0.98,1,42292,1470,2006,2K CCD Sensor,0
2227,Kepler-39,b,Transit,21.08721,0.164,0.112,89.07,20.1,Mass,1.24,13,1,0,1,1200,14.46,V (Johnson),6350,1.29,1.4,42033,897,2011,Kepler CCD Array,0
2302,Kepler-427,b,Transit,10.290994,0.091,0.57,89.5,0.29,Mass,1.23,0.16,1,0,1,1100,14.42,V (Johnson),5800,0.96,1.35,41915,1100,2014,Kepler CCD Array,0
2304,Kepler-43,b,Transit,3.0240949,0.046,,84.646,3.23,Mass,1.219,5,1,0,1,1950,13.958,Kepler-band,6041,1.32,1.42,42292,1620,2011,Kepler CCD Array,0
3173,WASP-28,b,Transit,3.40883,0.04469,0,88.61,0.907,Mass,1.213,0.676,0,1,1,410,12.03,V (Johnson),6150,1.02,1.09,42068,1468,2014,iKon-L CCD Camera,0
2886,Kepler-87,b,Transit,114.73635,0.481,0.036,89.274,1.02,Mass,1.204,0.729,1,0,1,,14.6,Kepler-band,5600,1.1,1.82,41773,478,2013,Kepler CCD Array,0
2297,Kepler-423,b,Transit,2.6843285,0.03585,0.019,87.828,0.595,Mass,1.192,0.459,1,0,1,725,14.29,Kepler-band,5560,0.85,0.95,42026,1605,2014,Kepler CCD Array,0
690,K2-29,b,Transit,3.2588321,0.04217,0.066,86.656,0.73,Mass,1.19,0.53,0,1,1,185,12.526,V (Johnson),5358,0.94,0.86,42453,1171,2016,Kepler CCD Array,0
2251,Kepler-40,b,Transit,6.87349,0.08,0,89.7,2.2,Mass,1.17,1.68,1,0,1,2700,14.588,Kepler-band,6510,1.48,2.13,41773,1620,2010,Kepler CCD Array,0
2296,Kepler-422,b,Transit,7.8914483,0.082,,,0.43,Mass,1.15,0.38,1,0,1,,13.435,Kepler-band,5972,1.15,1.24,41915,,2014,Kepler CCD Array,0
2310,Kepler-432,b,Transit,52.501129,0.301,0.5134,88.17,5.41,Mass,1.145,4.46,1,0,1,870,12.465,V (Johnson),4995,1.32,4.06,42124,,2015,Kepler CCD Array,0
2313,Kepler-434,b,Transit,12.8747099,0.1143,0.131,86.46,2.86,Mass,1.13,2.4,1,0,1,1240,14.517,Kepler-band,5977,1.2,1.38,42018,1000,2015,Kepler CCD Array,0
2001,Kepler-302,c,Transit,127.282184,0.503,,,,,1.111,,1,0,1,,15.505,Kepler-band,5740,,1.22,41773,,2014,Kepler CCD Array,0
734,KOI-217,b,Transit,3.90512,0.0477,0,89.8,,,1.11,,1,0,1,800,15.127,Kepler-band,5545,0.95,0.86,41773,,2010,Kepler CCD Array,0
982,Kepler-117,c,Transit,50.790391,0.2804,0.0323,89.64,1.84,Mass,1.101,1.74,1,0,1,1430,14.274,Kepler-band,6150,1.13,1.61,41962,704,2014,Kepler CCD Array,0
1993,Kepler-30,c,Transit,60.323105,0.3,0.0111,90.323,2.01,Mass,1.097,1.88,1,0,1,1400,15.403,Kepler-band,5498,0.99,0.95,41773,,2012,Kepler CCD Array,0
2320,Kepler-44,b,Transit,3.2467293,0.0446,0.066,84.96,1,Mass,1.09,0.93,1,0,1,2250,14.678,Kepler-band,5800,1.12,1.35,42033,1544,2011,Kepler CCD Array,0
2301,Kepler-426,b,Transit,3.21751883,0.0414,0.18,85.74,0.34,Mass,1.09,0.26,1,0,1,880,15.073,V (Johnson),5725,0.91,0.92,41915,1300,2014,Kepler CCD Array,0
